OfferId,Outlet Name,Address line 1,Address line 2,Town/city,County,Postcode,Phone  ,Website,Description,Disabled access,ClaimCode,BookingInstructions,CategoryKey,
210,Atlantic Scuba,1 Trenoweth Business Park,Mabe,Penryn,Cornwall,TR10 9JH,01326 618 583,www.atlanticscuba.co.uk,Advanced booking is required. All Group admittances are at the discretion of the venue. Discover Scuba Diving 2 for 1 offer. We require medical questionnaire and liability release to be signed. If aged 10-16 must be counter-signed by parent/guardian.,,,Advanced booking is required. All Group admittances are at the discretion of the venue. Discover Scuba Diving 2 for 1 offer. We require medical questionnaire and liability release to be signed. If aged 10-16 must be counter-signed by parent/guardian.,,
211,Aquanaut Scuba Diving,Putney Leisure Centre,Dryburgh Road,Putney ,London,SW15 1BL,02087 850 388,www.aquanautscuba.co.uk,Advanced booking is required. All Group admittances are at the discretion of the venue. 2 for 1 Discover Scuba Diving sessions take place on selected Friday evenings. Bookings in advance. All participants need to be medically fit and confident in water. Minimum age 10.,NO,,Advanced booking is required. All Group admittances are at the discretion of the venue. 2 for 1 Discover Scuba Diving sessions take place on selected Friday evenings. Bookings in advance. All participants need to be medically fit and confident in water. Minimum age 10.,,
212,Thirsk and Northallerton Golf Club,Thornton-Le-Street,,Thirsk,North Yorkshire,YO7 4AB,01845 525 115,www.tngc.co.uk,Advanced booking is required. All Group admittances are at the discretion of the venue. 2 for 1 golf lessons. Monday to Friday only.,NO,,Advanced booking is required. All Group admittances are at the discretion of the venue. 2 for 1 golf lessons. Monday to Friday only.,,
213,Ashley Wood Golf Club,Wimborne Road,,Blandford Forum,Dorset,DT11 9HN,01258 452 253,www.ashleywoodgolfclub.com,Advanced booking is required. All Group admittances are at the discretion of the venue. 2 for 1 on round of golf. Not on lessons.,YES,,Advanced booking is required. All Group admittances are at the discretion of the venue. 2 for 1 on round of golf. Not on lessons.,,
214,Abyss Dive Centre,"Mamtor House, Goyt Mill","Shepley Lane, Marple",Stockport,Cheshire,SK6 7HX,01614 271 616,www.abyssdivecentre.com,"Advanced booking is required. All Group admittances are at the discretion of the venue. 30 minute trial scuba dive with PADI instructor. Available all week all year round, date to be booked in advance. Minimum age 8. Medical conditions must be met.",,,"Advanced booking is required. All Group admittances are at the discretion of the venue. 30 minute trial scuba dive with PADI instructor. Available all week all year round, date to be booked in advance. Minimum age 8. Medical conditions must be met.",,
215,Christal Seas Scuba,62 Whiffler Road,,Norwich,Norfolk,NR3 2AY,01603 485 000,www.scuba4me.co.uk,"Advanced booking is required. All Group admittances are at the discretion of the venue. 2 hour introduction, short briefing, equipment intro and swimming pool dive. Subject to self certification medical, see www.padi.com",YES,,"Advanced booking is required. All Group admittances are at the discretion of the venue. 2 hour introduction, short briefing, equipment intro and swimming pool dive. Subject to self certification medical, see www.padi.com",,
216,Adventure Point,Unit 1 Morton Trade Park,Morton Parkway,Darlington,Co. Durham,DL1 4PT,01325 481 616,www.adventure-point.co.uk,Advanced booking is required. All Group admittances are at the discretion of the venue. 2 for 1 on entry. Pay for one child entry and get 1 free child entry. See website for entry prices and conditions. Not available in conjunction with any other offer.,YES,,Advanced booking is required. All Group admittances are at the discretion of the venue. 2 for 1 on entry. Pay for one child entry and get 1 free child entry. See website for entry prices and conditions. Not available in conjunction with any other offer.,,
217,College Pines Golf Club,Worksop College Drive,,Worksop,Nottinghamshire,S80 3AL,01909 501 431,www.collegepinesgolfclub.co.uk,"Advanced booking is required. All Group admittances are at the discretion of the venue. 2 for 1 golf lesson, subject to availability. Bookable 4 days in advance. Players must request activation code. Available Sunday - Thursday 1-5pm. Dress code applies.",NO,,"Advanced booking is required. All Group admittances are at the discretion of the venue. 2 for 1 golf lesson, subject to availability. Bookable 4 days in advance. Players must request activation code. Available Sunday - Thursday 1-5pm. Dress code applies.",,
218,Divestyle,"Unit A, Bridge Farm","Reading Road,Arborfield",Wokingham,Berkshire,RG2 9HT,0118 976 1729,www.divestyle.co.uk,Advanced booking is required. All Group admittances are at the discretion of the venue. 2 for 1 on Discover Scuba Courses. Now run each wednesday and one weekend a month.,LIMITED,,Advanced booking is required. All Group admittances are at the discretion of the venue. 2 for 1 on Discover Scuba Courses. Now run each wednesday and one weekend a month.,,
219,New Dawn Dive Centre,148 Send Road,Send,Woking,Surrey,GU23 7EZ,01483 211103,www.newdawndive.co.uk,Advanced booking is required. All Group admittances are at the discretion of the venue. 2 for 1 Discover Scuba Diving sessions. Min age 10 years and participation is subject to satisfactory medical declaration,NO,,Advanced booking is required. All Group admittances are at the discretion of the venue. 2 for 1 Discover Scuba Diving sessions. Min age 10 years and participation is subject to satisfactory medical declaration,,
220,Roundwood Hall Golf Club,Stone Street,Lym,Folkestone,Kent,CT18 8DJ,01303 862 260,www.roundwoodhall.co.uk,"Advanced booking is required. All Group admittances are at the discretion of the venue. Junior golfer goes free with every paying adult. Available between 10AM-2PM 7 days a week subject to availability. No walkers, caddies or non-playing people allowed on the course. Under 16s must be accompanied by a paying adult. All round must be booked in advance via telephone. Tee times are flexible and we will start you round as soon as is practical. Debit and credit card payments will incur al �1.00 processing fee. All standard golf rules as set by the R & A, and club rules will apply.",NO,,"Advanced booking is required. All Group admittances are at the discretion of the venue. Junior golfer goes free with every paying adult. Available between 10AM-2PM 7 days a week subject to availability. No walkers, caddies or non-playing people allowed on the course. Under 16s must be accompanied by a paying adult. All round must be booked in advance via telephone. Tee times are flexible and we will start you round as soon as is practical. Debit and credit card payments will incur al �1.00 processing fee. All standard golf rules as set by the R & A, and club rules will apply.",,
221,Bondhay Golf Club,Bondhay Lane,Whitwell,Worksop,Nottinghamshire�,S80 3EH,01909 723 608,www.bondhaygolfclub.com,"Advanced booking is required. All Group admittances are at the discretion of the venue. 2 for 1 offer on half an hour lesson. Available on the driving range, putting green, chipping or bunker play.",NO,,"Advanced booking is required. All Group admittances are at the discretion of the venue. 2 for 1 offer on half an hour lesson. Available on the driving range, putting green, chipping or bunker play.",,
222,Ocean View Diving,160 South Street,,Lancing,West Sussex,BN15 8AU,01903 767 224,www.oceanviewdiving.co.uk,Advanced booking is required. All Group admittances are at the discretion of the venue. 2 for 1 offer on Discover Scuba Diving. Total price �30 for 2 people. Monday to sunday 9am - 5pm.,YES,,Advanced booking is required. All Group admittances are at the discretion of the venue. 2 for 1 offer on Discover Scuba Diving. Total price �30 for 2 people. Monday to sunday 9am - 5pm.,,
223,Llanberis Lake Railway,Gilfach Ddu,,Llanberis,Gwynedd,LL55 4TY,01286 870 549,www.lake-railway.co.uk,Advanced booking is required. All Group admittances are at the discretion of the venue. Open 16th February to 21st December 2014. Please check our website for timetable details. Offer not valid during Special Events or Santa trains.,,,Advanced booking is required. All Group admittances are at the discretion of the venue. Open 16th February to 21st December 2014. Please check our website for timetable details. Offer not valid during Special Events or Santa trains.,,
224,Inveraray Jail,Church Square,,Inveraray,Argyll,PA32 8TX,01499 302 381,www.inverarayjail.co.uk,Advanced booking is required. All Group admittances are at the discretion of the venue. One child free with full paying adult,,,Advanced booking is required. All Group admittances are at the discretion of the venue. One child free with full paying adult,,
225,The National Motorcycle Museum,Coventry Road,Bickenhill,Solihull,West Midlands,B92 0EJ,01675 443 311,www.thenationalmotorcyclemuseum.co.uk,Advanced booking is required. All Group admittances are at the discretion of the venue. Subject to availability.,,,Advanced booking is required. All Group admittances are at the discretion of the venue. Subject to availability.,,
226,York Army Museum,3 Tower Street,,York,North Yorkshire,YO1 9SB,01904 461 010,www.rdgmuseum.org.uk,Advanced booking is required. All Group admittances are at the discretion of the venue. One child free with the first adult. The museum may close at short notice Aug/Sep.,,,Advanced booking is required. All Group admittances are at the discretion of the venue. One child free with the first adult. The museum may close at short notice Aug/Sep.,,
227,Hidden Treasures Museum of Lead Mining,Visitor centre,,Wanlockhead,Dumfries and Galloway,ML12 6UT,01659 74387,www.leadminingmuseum.co.uk,Advanced booking is required. All Group admittances are at the discretion of the venue. 2 for 1 available for our new season of 2014. 1st April to 30th September 2014 from 11am to 4.30pm,,,Advanced booking is required. All Group admittances are at the discretion of the venue. 2 for 1 available for our new season of 2014. 1st April to 30th September 2014 from 11am to 4.30pm,,
228,Benjamin Franklin House,36 Craven Street,,,London,WC2N 5NF,0207 925 1405,www.benjaminfranklinhouse.org,"Advanced booking is required. All Group admittances are at the discretion of the venue. 2 for 1 entry to historical experience - Wednesday - Sunday at 12.00pm, 1.00pm, 2.00pm, 3.15pm and 4.15pm. This offer is valid for our standard admission tickets (�7), not to be used in conjunction with any other offer or discount.",,,"Advanced booking is required. All Group admittances are at the discretion of the venue. 2 for 1 entry to historical experience - Wednesday - Sunday at 12.00pm, 1.00pm, 2.00pm, 3.15pm and 4.15pm. This offer is valid for our standard admission tickets (�7), not to be used in conjunction with any other offer or discount.",,
229,Calbourne Water Mill,Newport Road,,Calbourne,Isle of Wight,PO30 4JN,01983 531 227,www.calbournewatermill.co.uk,Advanced booking is required. All Group admittances are at the discretion of the venue. 2 for 1. Seasonal May - November. Subject to availability.,,,Advanced booking is required. All Group admittances are at the discretion of the venue. 2 for 1. Seasonal May - November. Subject to availability.,,
230,RAF Air Defence Radar Museum,Neatishead,,"Nr Horning, Norwich",Norfolk,NR12 8YB,01692 631 485,www.radarmuseum.co.uk,Advanced booking is required. All Group admittances are at the discretion of the venue. 2 for 1 entry - Check website for opening times,,,Advanced booking is required. All Group admittances are at the discretion of the venue. 2 for 1 entry - Check website for opening times,,
231,Bamburgh Castle,Bamburgh Castle,,Bamburgh,Northumberland,NE69 7DF,01668 214 208,www.bamburghcastle.com,Advanced booking is required. All Group admittances are at the discretion of the venue. Cheapest admission free. Not valid on family ticket or car park. Check website for opening times. No need to pre book.,,,Advanced booking is required. All Group admittances are at the discretion of the venue. Cheapest admission free. Not valid on family ticket or car park. Check website for opening times. No need to pre book.,,
232,1940s Swansea Bay,Baldwin Crescent,,Crymlyn Burrows,Swansea,SA1 8PT,01792 458 864,www.1940sswanseabay.co.uk,Advanced booking is required. All Group admittances are at the discretion of the venue. Open daily 10 - 5pm. Large groups visit during winter months so check access by email or telephone before travelling. Max one voucher per visit. Valid until April 2014,,,Advanced booking is required. All Group admittances are at the discretion of the venue. Open daily 10 - 5pm. Large groups visit during winter months so check access by email or telephone before travelling. Max one voucher per visit. Valid until April 2014,,
233,Carnglaze Caverns,Carnglaze,St Neot,Liskeard,Cornwall,PL14 6HQ,01579 320 251,www.carnglaze.com,"Advanced booking is required. All Group admittances are at the discretion of the venue. Open Mon-Fri 10am-5pm (8pm in August). Closed Dec 25th, Dec 26th, Jan 1st. Voucher not valid on Bank Holidays.",,,"Advanced booking is required. All Group admittances are at the discretion of the venue. Open Mon-Fri 10am-5pm (8pm in August). Closed Dec 25th, Dec 26th, Jan 1st. Voucher not valid on Bank Holidays.",,
234,Victoria Tunnel,Arch 6 Stepney Bank,,Newcastle upon Tyne,Tyne & Wear,NE1 2NP,0191 261 6596,www.ouseburntrust.org.uk,Advanced booking is required. All Group admittances are at the discretion of the venue. 2 for 1 entry - Check website for disabled access,,,Advanced booking is required. All Group admittances are at the discretion of the venue. 2 for 1 entry - Check website for disabled access,,
235,Havering Museum,19-21 High Street,,Romford,Essex,RM1 1JU,01708 766 571,www.haveringmuseum.org.uk,"Advanced booking is required. All Group admittances are at the discretion of the venue. Offer includes adult admissions (�2.50 adult, �2.00 senior). Children free. And family activities detailed in the Museum's seasonal programme.",,,"Advanced booking is required. All Group admittances are at the discretion of the venue. Offer includes adult admissions (�2.50 adult, �2.00 senior). Children free. And family activities detailed in the Museum's seasonal programme.",,
236,Cranbrook Museum,Carriers Road,,Cranbrook,Kent,TN17 3JX,01580 712 929,www.cranbrookmuseum.org,Advanced booking is required. All Group admittances are at the discretion of the venue. Open 1st April until 31st October Tuesday to Saturday 2.00 to 4.30pm. Disabled access to ground floor only.,,,Advanced booking is required. All Group admittances are at the discretion of the venue. Open 1st April until 31st October Tuesday to Saturday 2.00 to 4.30pm. Disabled access to ground floor only.,,
237,Scottish Dark Sky Observatory,Loch Doon,,Dalmellington,Ayrshire,KA6 7PZ,01292 551 118,www.scottishdarkskyobservatory.co.uk,Advanced booking is required. All Group admittances are at the discretion of the venue. All visits must be pre-booked,,,Advanced booking is required. All Group admittances are at the discretion of the venue. All visits must be pre-booked,,
238,Ingatestone Hall,Hall Lane,,Ingatestone,Essex,CM4 9NR,01277 353 010,www.ingatestonehall.co.uk,Advanced booking is required. All Group admittances are at the discretion of the venue. Open to offer Sundays and Wednesdays (12pm - 5pm) from Easter until September (not Wednesdays in June) Offer not available for special events,,,Advanced booking is required. All Group admittances are at the discretion of the venue. Open to offer Sundays and Wednesdays (12pm - 5pm) from Easter until September (not Wednesdays in June) Offer not available for special events,,
239,Inigo Jones Slate Works,Tudor Slate Works,Y Groeslon,Caernarfon,Gwynedd,LL54 7UE,01286 830 242,www.inigojones.co.uk,Advanced booking is required. All Group admittances are at the discretion of the venue. Open all year 9am-5pm including weekends. Last tour 4pm.,,,Advanced booking is required. All Group admittances are at the discretion of the venue. Open all year 9am-5pm including weekends. Last tour 4pm.,,
240,Dinosaur Isle,Culver Parade,,Sandown,Isle of Wight,PO36 8QA,01983 404 344,www.dinosaurisle.com,Advanced booking is required. All Group admittances are at the discretion of the venue. One free child when accompanied by a full paying adult. Open daily April -August 10am - 6pm. September - October 10am - 5pm. November - March 10am - 4pm. Last admission 1 hour before close.,,,Advanced booking is required. All Group admittances are at the discretion of the venue. One free child when accompanied by a full paying adult. Open daily April -August 10am - 6pm. September - October 10am - 5pm. November - March 10am - 4pm. Last admission 1 hour before close.,,
241,Tiverton Castle,Park Hill,,Tiverton,Devon,EX16 6RP,01884 253 200,www.tivertoncastle.com,Advanced booking is required. All Group admittances are at the discretion of the venue. 2 for the price of 1 Adult paying full price,,,Advanced booking is required. All Group admittances are at the discretion of the venue. 2 for the price of 1 Adult paying full price,,
242,Heckington Windmill,Hale Road,Heckington,Sleaford,Lincolnshire,NG34 9JW,01529 461 919,www.heckingtonwindmill.org.uk,"Advanced booking is required. All Group admittances are at the discretion of the venue. Adults �3.00 and children 5+ �1.50
 
 26th April - 21st July 12 - 5pm Saturday and Sunday
 21st July - 7th September 12 - 5pm open daily
 13th September - 2nd November 1 - 4pm Saturday and Sunday
 3rd November - Easter 2015 1 - 4pm Sunday only",,,"Advanced booking is required. All Group admittances are at the discretion of the venue. Adults �3.00 and children 5+ �1.50
 
 26th April - 21st July 12 - 5pm Saturday and Sunday
 21st July - 7th September 12 - 5pm open daily
 13th September - 2nd November 1 - 4pm Saturday and Sunday
 3rd November - Easter 2015 1 - 4pm Sunday only",,
243,GB Antiques Centre,Lancaster Leisure Park,Wyresdale Road,Lancaster,Lancashire,LA1 3LA,01524 844 734,www.gbantiquescentre.com,Advanced booking is required. All Group admittances are at the discretion of the venue. 2 for 1 admission. Not valid on special events.,,,Advanced booking is required. All Group admittances are at the discretion of the venue. 2 for 1 admission. Not valid on special events.,,
244,Leighton Hall,,,Carnforth,Lancashire,LA5 9ST,01524 734 474,www.leightonhall.co.uk,Advanced booking is required. All Group admittances are at the discretion of the venue. 2 for 1 admission. Not valid on special events.,,,Advanced booking is required. All Group admittances are at the discretion of the venue. 2 for 1 admission. Not valid on special events.,,
245,The Fan Museum,12 Crooms Hill,,,London,SE10 8ER,020 8305 1441,www.thefanmuseum.org.uk,"Advanced booking is required. All Group admittances are at the discretion of the venue. During opening hours: Tue-Sat 11.00-17.00, Sun 12.00-17.00",,,"Advanced booking is required. All Group admittances are at the discretion of the venue. During opening hours: Tue-Sat 11.00-17.00, Sun 12.00-17.00",,
246,The World of Glass,Chalon Way East,,St Helens,Merseyside,WA10 1BX,0174 422 766,www.worldofglass.com,Advanced booking is required. All Group admittances are at the discretion of the venue. 2 for 1 entry - applies to lowest price ticket. One person enters free with every full paying adult. Not to be used in conjunction with any other offers,,,Advanced booking is required. All Group admittances are at the discretion of the venue. 2 for 1 entry - applies to lowest price ticket. One person enters free with every full paying adult. Not to be used in conjunction with any other offers,,
247,Jorvik Viking Centre,15-17 Coppergate Walk,,York,North Yorkshire,YO1 9WT,01904 615 505,www.jorvik-viking-centre.co.uk,"Advanced booking is required. All Group admittances are at the discretion of the venue. Not valid on joint or pre-booked tickets. Voucher holders must join the queue, should there be one.",,,"Advanced booking is required. All Group admittances are at the discretion of the venue. Not valid on joint or pre-booked tickets. Voucher holders must join the queue, should there be one.",,
248,Barley Hall,2 Coffeeyard,,"Off Stonegate, York",North Yorkshire,Y01 8AR,01904 615 505,www.barleyhall.co.uk,"Advanced booking is required. All Group admittances are at the discretion of the venue. Not valid on joint or pre-booked tickets. Voucher holders must join the queue, should there be one.",,,"Advanced booking is required. All Group admittances are at the discretion of the venue. Not valid on joint or pre-booked tickets. Voucher holders must join the queue, should there be one.",,
249,DIG- An Archaeological Adventure,St Saviour's Church,,"St Saviourgate, York",North Yorkshire,Y01 8RR,01904 615 505,www.digyork.com,"Advanced booking is required. All Group admittances are at the discretion of the venue. Not valid on joint or pre-booked tickets. Voucher holders must join the queue, should there be one.",,,"Advanced booking is required. All Group admittances are at the discretion of the venue. Not valid on joint or pre-booked tickets. Voucher holders must join the queue, should there be one.",,
250,Stoneleigh Abbey,"Estate Office, Stoneleigh Abbey",,Kenilworth,Warwickshire,CV8 2LF,01926 858 535,www.stoneleighabbey.org,Advanced booking is required. All Group admittances are at the discretion of the venue. 2 for 1 on a guided tour of the house. Tour times are available on the website.,,,Advanced booking is required. All Group admittances are at the discretion of the venue. 2 for 1 on a guided tour of the house. Tour times are available on the website.,,
251,Christian Heritage,The Round Church,Bridge Street,Cambridge,Cambridgeshire,CB2 1UB,01223 311 602,www.christianheritage.org.uk,"Advanced booking is required. All Group admittances are at the discretion of the venue. 2 for 1 entry to The Round Church, open daily 10 until 5 (except Sundays 1-5pm). 20-minute film and exhibition panels on the history of Cambridge included.",,,"Advanced booking is required. All Group admittances are at the discretion of the venue. 2 for 1 entry to The Round Church, open daily 10 until 5 (except Sundays 1-5pm). 20-minute film and exhibition panels on the history of Cambridge included.",,
252,Gainsborough's House,46 Gainsborough Street,,Sudbury,Suffolk,CO10 2EU,01787 372 958,www.gainsborough.org,"Advanced booking is required. All Group admittances are at the discretion of the venue. 2 entries for the price of 1. Open Monday - Saturday 10am - 5pm. Closed: Sundays, Good Friday and between Christmas and the New Year",,,"Advanced booking is required. All Group admittances are at the discretion of the venue. 2 entries for the price of 1. Open Monday - Saturday 10am - 5pm. Closed: Sundays, Good Friday and between Christmas and the New Year",,
253,Brit Movie Tours: Doctor Who Cardiff Bus Tour,Wales Millennium Centrre,,Cardiff Bay,Cardiff,CF10 3RB,0844 2471 007,www.britmovietours.com,Advanced booking is required. All Group admittances are at the discretion of the venue. Subject to availability. Check website for details of tour.,,,Advanced booking is required. All Group admittances are at the discretion of the venue. Subject to availability. Check website for details of tour.,,
254,Brit Movie Tours: Doctor Who London Tour,Temple Tube Station,,,London,WC2R 2PH,0844 2471 007,www.britmovietours.com,Advanced booking is required. All Group admittances are at the discretion of the venue. Subject to availability. Check website for details of tour.,,,Advanced booking is required. All Group admittances are at the discretion of the venue. Subject to availability. Check website for details of tour.,,
255,Brit Movie Tours Gavin and Stacey,Barry Island Station,,Station Approach Road,Barry,CF62 5TH,0844 2471 007,www.britmovietours.com,Advanced booking is required. All Group admittances are at the discretion of the venue. Subject to availability. Check website for details of tour.,,,Advanced booking is required. All Group admittances are at the discretion of the venue. Subject to availability. Check website for details of tour.,,
256,Brit Movie Tours: Harry Potter Bus Tour of London,Temple Tube Station,,Westminster,London,WC2R 2PH,0844 2471 007,www.britmovietours.com,Advanced booking is required. All Group admittances are at the discretion of the venue. Subject to availability. Check website for details of tour.,,,Advanced booking is required. All Group admittances are at the discretion of the venue. Subject to availability. Check website for details of tour.,,
257,Brit Movie Tours: Sherlock Holmes Tour of London,Criterion Resturant,,Picadilly Circus,London,W1J 9HP,0844 2471 007,www.britmovietours.com,Advanced booking is required. All Group admittances are at the discretion of the venue. Subject to availability. Check website for details of tour.,,,Advanced booking is required. All Group admittances are at the discretion of the venue. Subject to availability. Check website for details of tour.,,
258,Brit Movie Tours: Jack the Ripper,Liverpool St. Station,,2 Bishopgate Arcade,London,EC2M 7QH,0844 2471 007,www.britmovietours.com,Advanced booking is required. All Group admittances are at the discretion of the venue. Subject to availability. Check website for details of tour.,,,Advanced booking is required. All Group admittances are at the discretion of the venue. Subject to availability. Check website for details of tour.,,
259,Brit Movie Tours: James Bond London Bus Tour,Temple Tube Station,,,London,WC2R 2PH,0844 2471 007,www.britmovietours.com,Advanced booking is required. All Group admittances are at the discretion of the venue. Subject to availability. Check website for details of tour.,,,Advanced booking is required. All Group admittances are at the discretion of the venue. Subject to availability. Check website for details of tour.,,
260,Brit Movie Tours: Midsomer Murders Tour,Holland Park tube Station,,,London,W11 3RB,0844 2471 007,www.britmovietours.com,Advanced booking is required. All Group admittances are at the discretion of the venue. Subject to availability. Check website for details of tour.,,,Advanced booking is required. All Group admittances are at the discretion of the venue. Subject to availability. Check website for details of tour.,,
261,Brit Movie Tours: Movie Locations Tour,Temple Tube Station,,,London,WC2R 2PH,0844 2471 007,www.britmovietours.com,Advanced booking is required. All Group admittances are at the discretion of the venue. Subject to availability. Check website for details of tour.,,,Advanced booking is required. All Group admittances are at the discretion of the venue. Subject to availability. Check website for details of tour.,,
262,Fairhaven Woodland & Water Garden,School Road,South Walsham,Norwich,Norfolk,NR13 6DZ,01603 270 449,www.fairhavengarden.co.uk,"Advanced booking is required. All Group admittances are at the discretion of the venue. 2 for 1 entry can be used during our normal opening hours, excluding special events. Ring for more details.",,,"Advanced booking is required. All Group admittances are at the discretion of the venue. 2 for 1 entry can be used during our normal opening hours, excluding special events. Ring for more details.",,
263,Sygun Copper Mine,,,Beddgelert,Gwynedd,LL55 4NE,01766 890 595,www.syguncoppermine.co.uk,Advanced booking is required. All Group admittances are at the discretion of the venue. Subject to availability.,,,Advanced booking is required. All Group admittances are at the discretion of the venue. Subject to availability.,,
264,Mill Green Mill & Museum,Bush Hall Lane,,Hatfield,Hertfordshire,AL9 5PD,01707 357 850,www.welhat.gov.uk/museum,Advanced booking is required. All Group admittances are at the discretion of the venue. Tuesday - Thursday 10am - 5pm. Sunday 2 - 5pm,,,Advanced booking is required. All Group admittances are at the discretion of the venue. Tuesday - Thursday 10am - 5pm. Sunday 2 - 5pm,,
265,Welwyn Roman Bath House,Welwyn by Pass,,Welwyn,Hertfordshire,AL6,01707 357 850,www.welhat.gov.uk/museum,Advanced booking is required. All Group admittances are at the discretion of the venue. Weekend opening 2 - 5pm. Herfordshire School Holidays Weekday & Weekend 2-5pm,,,Advanced booking is required. All Group admittances are at the discretion of the venue. Weekend opening 2 - 5pm. Herfordshire School Holidays Weekday & Weekend 2-5pm,,
266,Stansted House,Rowlands Castle,Standsted Park,Havant,Hampshire,PO9 6DX,02392 412 265,www.stanstedpark.co.uk,Advanced booking is required. All Group admittances are at the discretion of the venue. House opening times: April and May: Sundays and Bank Holidays 1-5pm. June-September: Sundays-Wednesdays 1-5pm,,,Advanced booking is required. All Group admittances are at the discretion of the venue. House opening times: April and May: Sundays and Bank Holidays 1-5pm. June-September: Sundays-Wednesdays 1-5pm,,
267,Wookey Hole Attractions and Hotel,The Mill,,"Wookey Hole, Wells",Somerset,BA5 1BB,01749 672 243,www.wookey.co.uk,"Advanced booking is required. All Group admittances are at the discretion of the venue. April to October - open from 10.00am, last cave tour 5.00pm. November to March - open from 10.00am, last cave tour 4.00pm. Wookey Hole is open weekends and school holidays during December and January - Closed Christmas day and Boxing Day. Not valid with any other discount or offer, not valid for special events.",,,"Advanced booking is required. All Group admittances are at the discretion of the venue. April to October - open from 10.00am, last cave tour 5.00pm. November to March - open from 10.00am, last cave tour 4.00pm. Wookey Hole is open weekends and school holidays during December and January - Closed Christmas day and Boxing Day. Not valid with any other discount or offer, not valid for special events.",,
268,Epworth Old Rectory,1 Rectory Street,,Epworth,Lincolnshire,DN9 1HX,01427 872 268,www.epwortholdrectory.org.uk,Advanced booking is required. All Group admittances are at the discretion of the venue. One free child admission with a paying adult.,,,Advanced booking is required. All Group admittances are at the discretion of the venue. One free child admission with a paying adult.,,
269,Cork City Gaol,Convent Avenue,Sundays Well,Cork,Ireland,,00353 (0)21430 5022,www.corkcitygaol.com,Advanced booking is required. All Group admittances are at the discretion of the venue. Subject availability,,,Advanced booking is required. All Group admittances are at the discretion of the venue. Subject availability,,
270,Maidenhead Heritage Centre,18 Park Street,,Maidenhead,Berkshire,SL6 1SL,01628 780 555,www.maidenheadheritage.org.uk,Advanced booking is required. All Group admittances are at the discretion of the venue. 2 for 1 Spitfire simulator flights. Open Tues to Sat 10am to 4pm. Booking advisable- phone 01628 780 555. Air transport auxiliary exhibition.,,,Advanced booking is required. All Group admittances are at the discretion of the venue. 2 for 1 Spitfire simulator flights. Open Tues to Sat 10am to 4pm. Booking advisable- phone 01628 780 555. Air transport auxiliary exhibition.,,
271,The Helicopter Museum,The Heliport,Locking Moor Road,Weston-super-Mare,Avon,BS24 8PP,01934 635 227,www.helicoptermuseum.co.uk,Advanced booking is required. All Group admittances are at the discretion of the venue. One free child admission with every two full paying adults. Not valid 26/27 July 2014.,,,Advanced booking is required. All Group admittances are at the discretion of the venue. One free child admission with every two full paying adults. Not valid 26/27 July 2014.,,
272,Dickens World- The Grand Tour,Leviathan Way,Chatham Maritime,Chatham,Kent,ME4 4LL,08448 586 656,www.dickensworld.co.uk,"Advanced booking is required. All Group admittances are at the discretion of the venue. Tours operate from 10am-3.30pm (subject to change due to school bookings). We cannot accept the voucher during December, therefore we will only accept the 2 for 1 from April to November. All tours must be booked in advance as all tours are timed and have limited space. To claim the offer, the voucher must be presented and surrendered on admission.",,,"Advanced booking is required. All Group admittances are at the discretion of the venue. Tours operate from 10am-3.30pm (subject to change due to school bookings). We cannot accept the voucher during December, therefore we will only accept the 2 for 1 from April to November. All tours must be booked in advance as all tours are timed and have limited space. To claim the offer, the voucher must be presented and surrendered on admission.",,
273,Yesterday's World Battle,89-90 High Street,,Battle,East Sussex,TN33 0AQ,01424 777 226,www.yesterdaysworld.co.uk,Advanced booking is required. All Group admittances are at the discretion of the venue. No restrictions.,,,Advanced booking is required. All Group admittances are at the discretion of the venue. No restrictions.,,
274,Yesterday's World Great Yarmouth,34 Marine Parade,,Great Yarmouth,Norfolk,NR30 2EN,01493 331 148,www.yesterdaysworld.co.uk,Advanced booking is required. All Group admittances are at the discretion of the venue. No restrictions.,,,Advanced booking is required. All Group admittances are at the discretion of the venue. No restrictions.,,
275,Dinostar - The Dinosaur Experience,28-29 Humber Street,,Hull,East Yorkshire,HU1 1TH,01482 320 424,www.dinostar.co.uk,Advanced booking is required. All Group admittances are at the discretion of the venue. Two adults admitted for the price of one adult. Offer valid whenever Dinostar is open. Dinostar is open every Sunday plus some school holidays. See website for details.,,,Advanced booking is required. All Group admittances are at the discretion of the venue. Two adults admitted for the price of one adult. Offer valid whenever Dinostar is open. Dinostar is open every Sunday plus some school holidays. See website for details.,,
276,House for an Art Lover,Bellahouston Park,10 Dumbreck Road,Glasgow,Lanarkshire�,G41 5BW,0141 353 4770,www.houseforanartlover.co.uk,Advanced booking is required. All Group admittances are at the discretion of the venue. Available during visitor attraction opening hours. Please visit website for opening time details.,,,Advanced booking is required. All Group admittances are at the discretion of the venue. Available during visitor attraction opening hours. Please visit website for opening time details.,,
277,The Pencil Museum,Southey Works,,Keswick,Cumbria,CA12 5NG,01768 773 626,www.pencilmuseum.co.uk,Advanced booking is required. All Group admittances are at the discretion of the venue. Subject to availability.,,,Advanced booking is required. All Group admittances are at the discretion of the venue. Subject to availability.,,
